list,key,message_id,winner,winner_manifestation,loser,loser_manifestation
bpfk,id:aanlkti=l2zfcfat1csxged_-cxqe8nzlb-ynxaq3-fca@mail.gmail.com,aanlkti=l2zfcfat1csxged_-cxqe8nzlb-ynxaq3-fca@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172697_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692933.3183730_29.lebna:2,S",lists-plain
bpfk,id:aanlkti=m4myzjnum8t_duh0pagjdpkwvqaza1m190gtr@mail.gmail.com,aanlkti=m4myzjnum8t_duh0pagjdpkwvqaza1m190gtr@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172693_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692929.3183726_91.lebna:2,S",lists-plain
bpfk,id:aanlkti=topejrh4c8o76h2tpjvsw6gcebmnt2pg_szqu@mail.gmail.com,aanlkti=topejrh4c8o76h2tpjvsw6gcebmnt2pg_szqu@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_587.lebna:2,S",lists-plain
bpfk,id:aanlkti=u8lepyifvvgyrwzyfgoawrpcz9bplnj8c0=zu@mail.gmail.com,aanlkti=u8lepyifvvgyrwzyfgoawrpcz9bplnj8c0=zu@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_557.lebna:2,S",lists-plain
bpfk,id:aanlkti=vtrkxct2nkxto1hsxqxmopuppkeqgpe3_j9ob@mail.gmail.com,aanlkti=vtrkxct2nkxto1hsxqxmopuppkeqgpe3_j9ob@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_15.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_607.lebna:2,S",lists-plain
bpfk,id:aanlkti=w+vf44v2hkja_dp61au8zhz=zqstfm7gxxwu_@mail.gmail.com,aanlkti=w+vf44v2hkja_dp61au8zhz=zqstfm7gxxwu_@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172696_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183729_99.lebna:2,S",lists-plain
bpfk,id:aanlktikyj3b1g8yugejhn0hk8wzyb3nf5-lp1-oope8k@mail.gmail.com,aanlktikyj3b1g8yugejhn0hk8wzyb3nf5-lp1-oope8k@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_19.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183727_663.lebna:2,S",lists-plain
bpfk,id:aanlktim5nstw_dymxaqsngv1byym0qmhqpbgf8nyy=kz@mail.gmail.com,aanlktim5nstw_dymxaqsngv1byym0qmhqpbgf8nyy=kz@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_17.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183727_661.lebna:2,S",lists-plain
bpfk,id:aanlktimh7btz7+eehkf2bdrpbezcv0bnpr_1f1-eb9rc@mail.gmail.com,aanlktimh7btz7+eehkf2bdrpbezcv0bnpr_1f1-eb9rc@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172693_7.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692929.3183726_143.lebna:2,S",lists-plain
bpfk,id:aanlktimyxoletln5ausfeksr3m9rro4f0hl3dm4e03-_@mail.gmail.com,aanlktimyxoletln5ausfeksr3m9rro4f0hl3dm4e03-_@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172695_7.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183728_45.lebna:2,S",lists-plain
bpfk,id:aanlktin+nk4n5clv7uqacnyfuywukkvqjfsgmckumzqs@mail.gmail.com,aanlktin+nk4n5clv7uqacnyfuywukkvqjfsgmckumzqs@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172696_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692932.3183729_1.lebna:2,S",lists-plain
bpfk,id:aanlktinb6tu7bem7cktfx7pio1fs+7wfryzzqxz1nwy2@mail.gmail.com,aanlktinb6tu7bem7cktfx7pio1fs+7wfryzzqxz1nwy2@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172694_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692931.3183727_405.lebna:2,S",lists-plain
bpfk,id:aanlkting2b-bc1+0ljtoh96fszqijszr+c3odwsvvaf5@mail.gmail.com,aanlkting2b-bc1+0ljtoh96fszqijszr+c3odwsvvaf5@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172693_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692929.3183726_89.lebna:2,S",lists-plain
bpfk,id:aanlktinos-mvhsif-2zufxt6s_w0=0qyqnrzmu8zcieq@mail.gmail.com,aanlktinos-mvhsif-2zufxt6s_w0=0qyqnrzmu8zcieq@mail.gmail.com,"maildir-zip/bpfk/cur/1721692836.3172699_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692934.3183732_63.lebna:2,S",lists-plain
bpfk,id:aanlktinxzvvqw9uaqr2uhncusdyxmc5lx4nmf6r=mv-i@mail.gmail.com,aanlktinxzvvqw9uaqr2uhncusdyxmc5lx4nmf6r=mv-i@mail.gmail.com,"maildir-zip/bpfk/cur/1721692835.3172693_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692929.3183726_167.lebna:2,S",lists-plain
bpfk,id:camkwhj1wkejbcbq6msgfzwinz7+clpb60ywysgqcgwrfs7dt-q@mail.gmail.com,camkwhj1wkejbcbq6msgfzwinz7+clpb60ywysgqcgwrfs7dt-q@mail.gmail.com,"maildir-zip/bpfk/cur/1721691936.3122957_7.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691926.3122903_19.lebna,lists-plain
bpfk,id:camkwhj1zsqdebqndombzd35uvzqsfjqttffzokvdc4yyjnq3ew@mail.gmail.com,camkwhj1zsqdebqndombzd35uvzqsfjqttffzokvdc4yyjnq3ew@mail.gmail.com,"maildir-zip/bpfk/cur/1721691936.3122957_5.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691926.3122899_15.lebna,lists-plain
bpfk,id:camkwhj2ke0d9kjv833bwqkgzxtnz31v2vddkog2a0_mkosxrjg@mail.gmail.com,camkwhj2ke0d9kjv833bwqkgzxtnz31v2vddkog2a0_mkosxrjg@mail.gmail.com,"maildir-zip/bpfk/cur/1721691936.3122957_11.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691927.3122907_5.lebna,lists-plain
bpfk,id:cao7tk2cef-n3mzc4+evcgohfa5bg=vsydhz9ubdgowznb3k5gw@mail.gmail.com,cao7tk2cef-n3mzc4+evcgohfa5bg=vsydhz9ubdgowznb3k5gw@mail.gmail.com,"maildir-zip/bpfk/cur/1721691936.3122957_1.lebna:2,",lists-plain,maildir-zip/bpfk/new/1721691926.3122898_5.lebna,lists-plain
bpfk,id:e1akpjr-0006re-00@home.surreality.us,e1akpjr-0006re-00@home.surreality.us,"maildir-zip/bpfk/cur/1721692012.3123137_17.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692906.3183671_1.lebna:2,S",lists-plain
bpfk,id:e5a4531d-bc5d-11d7-9438-003065d4ec72@optushome.com.au,e5a4531d-bc5d-11d7-9438-003065d4ec72@optushome.com.au,"maildir-zip/bpfk/cur/1721692012.3123135_5.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692904.3183668_5.lebna:2,S",lists-plain
bpfk,id:e6663d200612172206j357fa38fvcce2f9fbb561065f@mail.gmail.com,e6663d200612172206j357fa38fvcce2f9fbb561065f@mail.gmail.com,"maildir-zip/bpfk/cur/1721692013.3123157_9.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692013.3123157_7.lebna:2,S",lists-plain
bpfk,id:e6663d200612190911h5fa7692enb1cb532014e132c5@mail.gmail.com,e6663d200612190911h5fa7692enb1cb532014e132c5@mail.gmail.com,"maildir-zip/bpfk/cur/1721692013.3123157_17.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692013.3123157_15.lebna:2,S",lists-plain
bpfk,id:ea6fac17-baae-11d7-a57e-003065d4ec72@optushome.com.au,ea6fac17-baae-11d7-a57e-003065d4ec72@optushome.com.au,"maildir-zip/bpfk/cur/1721692012.3123135_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692904.3183668_1.lebna:2,S",lists-plain
bpfk,id:p05200f1abaaa09643a16@[128.250.86.174],p05200f1abaaa09643a16@[128.250.86.174],"maildir-zip/bpfk/cur/1721692011.3123133_1.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692901.3183666_1.lebna:2,S",lists-plain
bpfk,id:p05200f1cbaaa0b5db077@[128.250.86.174],p05200f1cbaaa0b5db077@[128.250.86.174],"maildir-zip/bpfk/cur/1721692011.3123133_3.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692901.3183666_3.lebna:2,S",lists-plain
bpfk,id:pine.lnx.4.60.0612191042060.15516@hagbart.nvg.ntnu.no,pine.lnx.4.60.0612191042060.15516@hagbart.nvg.ntnu.no,"maildir-zip/bpfk/cur/1721692013.3123157_13.lebna:2,S",lists-plain,"maildir-zip/bpfk/cur/1721692013.3123157_11.lebna:2,S",lists-plain
