# mail/lojban-list thread 87e952118d75-no_subject | root 199308170405.aa00626@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:02:55Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170405.aa00626@eli.cs.yale.edu | mail/lojban-list/cur/745560175.87e952118d75197a.jbomohi:2,S
ctonanca        100+year
galmau  high+more
galpau  high+part
galrai  high+superlative
galsu'a high+structure
galtuple        high+leg
gancuktai       broad+round+shape
ganlerfu        broad+letteral
ganrykurfa      broad+square
gapcpare        above+climb
gapcta  above+look
gapkla  above+come
gapydzu above+walk
garnyka'afendi  rail+cut+divide
gasfri  sense+experience
gaxmolgle       anus+mouth+copulate
gaxygle anus+copulate
gaxykafke       anus+cough
ge'adra grammar+correct
geipre  happy+person
geirde'a        happy+wait
geirgau happy+do
geirxe'o        happy+kind
geizma  happy+more
gekcisma        happy+smile
gekpanpi        happy+peace
gekrai  happy+superlative
gekri'a happy+cause
gekyki'a        happy+cry-out
genlalske       grammar+analyze+science
gensu'a grammar+structure
genturfa'i      grammar+structure+discover
gerba'u dog+utter
gercmo  dog+moan
gerpre  dog+person
gerzda  dog+nest
gi'uste root-word+list
gicnatmi        English+nation
gicygerna       English+grammar
gicygu'e        English+country
gicyvla English+word
gincilta        gene+thread
ginlazmi'u      gene+family+same
ginpoi  gene+sequence
girnunpei       group+event-of+think
girsanga        group+sing
girselpei       group+2nd-place-of+think
girvlici'e      group+powerful+system
gismyle'avla    root-word+take+word
gitsko  guitar+cord
glacai  hot+intense
glagau  hot+do
glaryri'a       hot+cause
gledji  copulate+desire
glefi'a copulate+fiction
gletci  copulate+tool
gletro  copulate+control
glevi'i copulate+excrete
glibau  English+language
gligu'e English+country
glikragu'e      English+source+country
glimerko        English+American
granydanti      rod+projectile
granydantycecla rod+projectile+launcher
grebe'i pass-through+transfer
greblo  pass-through+boat
greblopre       pass-through+boat+person
grece'i pass-through+tax
grecta  pass-through+look
gregau  pass-through+do
greke'a pass-through+cavity
grile'u group+letteral
grinunjvi       group+event-of+compete
gripau  group+part
grizba  group+make
grusko  grain+cord
grutytricu      fruit+tree
gu'astu work+site
gu'erpa'i       country+love
gu'onre'o       roll+throw
gu'orgau        roll+do
gubgau  public+do
gubnoi  public+message
gubnuncasnu     public+event-of+discuss
gubyternoi      public+3rd-place-of+message
gugbandu        country+defend
gugyka'i        country+represent
gukcanre        scrape+sand
gumpe'i jointly+meet
gungri  work+group
gunku'a work+room
gurnycti        grain+eat
gusminra        illumine+reflect
gustci  illumine+tool
gustytigni      restaurant+perform
gusycai illumine+intense
ja'esni result+sign
ja'orca'o       show+window
ja'urjukni      claw+spider
jabytu'u        bell+tube
jacke'o water+kelvin
jaclu'a water+route
jacnalselgre    water+other-than-+2nd-place-of+pass-through
jacyca'egrana   water+shove+rod
jacydertu       water+dirt
jacydirgo       water+drop
jacyvi'u        water+remove
jadnoi  adorn+message
jadycau adorn+without
jadypinji       adorn+penis
jaftamji        foot+thumb
jaftamjycalku   foot+thumb+shell
jafti'e foot+behind
jagdimna        result+fate
jairtai grasp+shape
jairxa'e        grasp+hand
jajgau  gather+do
jakcai  narrow+intense
jaklerfu        narrow+letteral
jarcinki        firm+insect
jarklitybliku   firm+clay+block
jarpelji        firm+paper
jarpu'i firm+put
jaryri'a        firm+cause
jasysnu diplomat+discuss
jaurbumru       water+fog
jaurcarna       water+turn
jaurdarxi       water+hit
jaurde'uro'i    water+dirt+rock
jaurfarlu       water+fall
jaurgairi'a     water+cover+cause
jaurgapci       water+gas
jaurmabru       water+mammal
jaurselbei      water+2nd-place-of+carry
jaurselylumci   water+2nd-place-of+wash
jaurvacri       water+air
jbebersa        born+son
jbedei  born+full-day
jbedetnunsla    born+date+event-of+celebrate
jbedetsla       born+date+celebrate
jbenysalci      born+celebrate
jbetcaxa'u      born+city+dwell
jbetutra        born+territory
jbibi'o near+become
jbidra  near+correct
jbige'adra      near+grammar+correct
jbikla  near+come
jbimau  near+more
jbirai  near+superlative
jbiremna        near+human
jbixa'u near+dwell
jboba'u Lojbanic+utter
jbobau  Lojbanic+language
jbocecmu        Lojbanic+community
jbofinpla       Lojbanic+invent+plan
jbofonta'a      Lojbanic+telephone+talk
jbogerna        Lojbanic+grammar
jbogri  Lojbanic+group
jbogunka        Lojbanic+work
jbojikca        Lojbanic+socialize
jbomi'u Lojbanic+same
jbomidju        Lojbanic+middle
jbonunsku       Lojbanic+event-of+express
jbopre  Lojbanic+person
jbosalci        Lojbanic+celebrate
jboselba'u      Lojbanic+2nd-place-of+utter
jboselsku       Lojbanic+2nd-place-of+express
jboslanunpe'i   Lojbanic+celebrate+event-of+meet
jbosni  Lojbanic+sign
jboste  Lojbanic+list
jbota'a Lojbanic+talk
jbotcidu        Lojbanic+read
jbovla  Lojbanic+word
jbozi'u Lojbanic+purple
jbuboikei       table+ball+play
jbusfe  table+surface
jbustu  table+site
jdacecmu        religion+community
jdacuvgau       religion+pure+do
jdadapma        religion+curse
jdajinru        religion+immerse
jdaka'i religion+represent
jdami'u religion+same
jdapilno        religion+use
jdaralju        religion+principal
jdaselsku       religion+2nd-place-of+express
jdasinma        religion+esteem
jdasku  religion+express
jdaskuzei       religion+express+crime
jdasoi  religion+soldier
jdaxanmu'u      religion+hand+move
jdazei  religion+crime
jdecisma        warn+smile
jdigunka        decide+work
jdikyri'a       decrease+cause
jditadji        decide+method
jdufinpe        jelly+fish
jectrukamni     polity+govern+committee
jecydinsro      polity+money+store
jecyga'ibai     polity+modify+force
jecyga'ibaigau  polity+modify+force+do
jecyselxaizei   polity+2nd-place-of+injure+crime
jelgau  burn+do
jelgauca'a      burn+do+apparatus
jelspo  burn+destroy
jercru  borrow+let
jerle'i borrow+pay
jesycro needle+pain
jesyspa needle+plant
jetfacki        true+discover
jetpai  true+judge
jetycipra       true+test
jgarau  angle+unit
jgene'ota'u     knot+neck+garment
jgiskicu        pride+describe
jgisku  pride+express
ji'efri live+experience
ji'epru live+past
ji'esti live+cease
ji'icni opine+emotion
jibgunka        job+work
jibryjatna      job+captain
jibypli job+use
jibysti job+cease
jibystigau      job+cease+do
jifselkri       false+2nd-place-of+believe
jifyjovnarje'u  false+if-and-only-if+not-true+true
jikcecmu        socialize+community
jikfanza        socialize+annoy
jikfazgau       socialize+annoy+do
jiknei  socialize+fond
jikri'i socialize+rite
jikri'ipro      socialize+rite+oppose
jiksre  socialize+err
jikyju'o        socialize+know
jimcai  metal+intense
jimda'izbe      metal+hit+pedestal
jimdaxsna       metal+hit+sound
jimto'a metal+tone
jincarna        ring+turn
jincla  ring+long
jinrygau        immerse+do
jintitnanba     ring+sweet+bread
jintydi'u       well+building
jipnymokca      tip+point
jirlu'i immerse+wash
jirsezlu'i      immerse+self+wash
jisygau clean+do
jisysatre       clean+stroke
jivrei  opine+question
jizvanbi        innate+environment
jmadegji        foot+finger
jmadegycalku    foot+finger+shell
jmavra  foot+lever
jmeja'i gem+adorn
jmekunra        gem+mineral
jmepilka        gem+crust
jmero'i gem+rock
jmigau  understand+do
jmimau  understand+more
jmivyselnanca   live+2nd-place-of+year
jonja'e joined+result
jonjmina        joined+add
jonma'o joined+structure-word
ju'itra attentive+behave
judri'a attentive+cause
judzga  attentive+observe
jufrystura      sentence+structure
jufygri sentence+group
jugyklu Chinese+culture
julra'o clock+radian
jumble  germ+weak
junbenji        know+transfer
jungau  know+do
junri'a know+cause
junryri'a       serious+cause
juntytri        weight+attract
jupfinti        cook+invent
jupku'a cook+room
jupyzba cook+make
jurja'o serious+show
jvajvo  rule+affix-compound
jvigerku        compete+dog
jvine'u compete+reward
jvipai  compete+judge
jvixi'a compete+horse
jvoste  affix-compound+list
jvozba  affix-compound+make
ka'amru cut+hammer
ka'anri'a       cut+cause
ka'arkakpa      cut+dig
ka'arkomcu      cut+comb
ka'arvi'u       cut+remove
ka'irpruxypre   represent+spirit+person
ka'urbi'o       quantum+become
kabryca'u       cup+space
kacna'u count+number
kadnymergli     Canadian+American+English
kadyto'a        dim+tone
kadyto'atci     dim+tone+tool
kafkytrofli     cough+control+fail
kafybarja       coffee+bar
kagycange       company+farm
kagytrocange    company+control+farm
kairpai quality+judge
kakpyca'a       dig+apparatus
kalgai  eye+cover
kalgaikre       eye+cover+hair
kalrysna        open+sound
kalselvi'i      eye+2nd-place-of+excrete
kalsydzu        chaotic+walk
kalsyfle        chaotic+flow
kalsygri        chaotic+group
kalsykla        chaotic+come
kalsyri'a       chaotic+cause
kalsystu        chaotic+site
kalsysu'a       chaotic+structure
kalvi'i eye+excrete


