# mail/lojban-list thread d5aa206095e4-no_subject | root 199308170406.aa00636@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:03:05Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170406.aa00636@eli.cs.yale.edu | mail/lojban-list/cur/745560185.d5aa206095e4117d.jbomohi:2,S
pa'arcau        hope+without
relka'a 2+cut
relpi'i 2+multiply
relprevelma'e   2+person+4th-place-of+vehicle
relpru  2+past
relprudarxi     2+past+hit
relselba'e      2+2nd-place-of+blade
relselcalku     2+2nd-place-of+shell
relselmla       2+2nd-place-of+side
relselxislu     2+2nd-place-of+wheel
relskosa'e      2+cord+stroke
relteryrau      2+3rd-place-of+unit
relxagri        2+reed
relxilma'e      2+wheel+vehicle
rembangu        human+language
rembi'o human+become
remdja  human+food
remska  human+color
remskapi        human+pelt
remso'a human+egg
remtai  human+shape
remtsi  human+seed
remyma'utei     human+mature+time
renkla  train+come
rerce'a throw+launcher
respycrida      reptile+fairy
retsku  question+express
retysisku       question+seek
ri'emla river+side
ri'erkrajinto   river+source+well
ri'erxi'a       river+horse
ri'ijvo rite+affix-compound
ri'irdzuzgibe'e rite+walk+music+crew
ri'irju'a       rite+sentence
ri'irtanru      rite+phrase-compound
ri'irti'i       rite+suggest
ri'ixra rite+picture
ri'ortcati      green+tea
ri'ursrutu'o    restrain+surround+swallow
ricfoi  tree+field
ricpurdi        tree+garden
ricyci'e        tree+system
ricycrida       tree+fairy
ricyratcu       tree+rat
ricyselsru      tree+2nd-place-of+surround
ridrirni        fairy+parent
rijnyska        silver+color
rijnysmi        silver+similar
rikygei cause+happy
rindatni        reason+data
ringei  reason+happy
rirbu'a parent+brother
rirme'i parent+sister
riryriryrirni   parent+parent+parent
risnyjelca      heart+burn
ritkemna'aterjvi        British+type-of+year+3rd-place-of+compete
ritlymleca      rite+less
ritna'aterjvi   British+year+3rd-place-of+compete
ritnai  British+nation
ritpre  British+person
ritybartu       British+out
ritygu'e        British+country
rityjbo British+Lojbanic
rivli'a avoid+leave
rokcmaplini     rock+small+planet
rokspi  rock+piece
rolbau  every+language
roldei  every+full-day
rolgu'e every+country
rolnicte        every+night
rolpre  every+person
rolremyzda      every+human+nest
rolsliparbi     every+oscillate+ratio
rolstu  every+site
roltei  every+time
rolterdi        every+earth
rolterslidi'e   every+3rd-place-of+oscillate+radiate
roltru  every+govern
rolzda  every+nest
ru'ipre spirit+person
rulpezli        flower+leaf
rulpurdi        flower+garden
rumpe'a melt+spread
rumro'i melt+rock
runbau  artifact+language
rungerna        artifact+grammar
rutpesxu        fruit+paste
rutpurdi        fruit+garden
rutyjdu fruit+jelly
ruxse'i spirit+self
ruxyzau spirit+approve
sa'erjgita      stroke+guitar
sa'irlai        stand+quantity
sa'orkurfa      slope+square
sa'unri'a       necessary+cause
sa'urmi'e       necessary+command
sadrai  succeed+superlative
sagbarja        sing+bar
sagdraci        sing+drama
sagysku sing+express
saisla  meal+celebrate
sakcpu  suck+pull
sakcygau        suck+do
sakcyselylumci  suck+2nd-place-of+wash
sakcyto'a       suck+tone
saklysiclytci   slide+whistle+tool
saklytu'u       slide+tube
sakmu'u suck+move
sakyva'u        suck+breathe
salcyfagri      celebrate+fire
salpydizyselfa'a        slope+low+2nd-place-of+direction
samci'a computer+write
samci'eta'a     computer+system+talk
samjudri        computer+address
sampei  computer+think
sample  computer+paper
sampyrai        simple+superlative
samralsle       computer+principal+cell
samru'e computer+process
samselfu        computer+serve
samske  computer+science
samsnuci'e      computer+discuss+system
samstu  computer+site
samtermi'e      computer+3rd-place-of+command
samvidni        computer+video
samymi'enoi     computer+command+message
samymri computer+mail
sange'u Spanish+dog
sanjybi'o       conscious+become
sanjyri'a       conscious+cause
saptciklu       simple+tool+culture
sarlyja'i       spiral+adorn
sasfoi  grass+field
saspurdi        grass+garden
sastu'a grass+land
satcymau        exact+more
satcyri'a       exact+cause
satcyskicu      exact+describe
saurckusro      old+book+store
saurdai old+object
saurgu'e        old+country
saurmidju       old+middle
saursutsabdja   old+fast+provide+food
savlerfu        noise+letteral
savri'a noise+cause
sazycau operate+without
sazysti operate+cease
sazytcila       operate+detail
se'isku self+express
se'ixru self+return
se'izga self+observe
sedbo'u head+bone
sedja'o head+show
sedycortu       head+pain
sedykre head+hair
sedyterjo'e     head+3rd-place-of+joined
seicni  apart+emotion
selbandydji     2nd-place-of+defend+desire
selbanka'e      2nd-place-of+language+able
selbrivla       2nd-place-of+predicate+word
selca'u 2nd-place-of+space
selcakyjme      2nd-place-of+shell+gem
selcmeju'o      2nd-place-of+name+know
selcmipi'i      2nd-place-of+member+multiply
selcmisumji     2nd-place-of+member+sum
seldantysazri   2nd-place-of+projectile+operate
selfi'usa'i     2nd-place-of+confusing+stand
selfinfi'a      2nd-place-of+invent+fiction
selfityjbu      2nd-place-of+offer+table
selga'esmu      2nd-place-of+sense+meaning
selgaita'u      2nd-place-of+cover+garment
selgapygau      2nd-place-of+above+do
selgeimau       2nd-place-of+happy+more
selgusrai       2nd-place-of+illumine+superlative
selja'efau      2nd-place-of+result+event
seljdadji       2nd-place-of+religion+desire
seljdagei       2nd-place-of+religion+happy
seljdami'u      2nd-place-of+religion+same
seljmaji        2nd-place-of+gather
seljmiri'a      2nd-place-of+understand+cause
seljudyxau      2nd-place-of+attentive+good
seljunbe'i      2nd-place-of+know+transfer
selkecmlu       2nd-place-of+pity+seem
selkelste       2nd-place-of+play+list
selkemselgeimau 2nd-place-of+type-of+2nd-place-of+happy+more
selkemxagmaugau 2nd-place-of+type-of+good+more+do
selma'o 2nd-place-of+structure-word
selmo'ami'u     2nd-place-of+pattern+same
selneirai       2nd-place-of+fond+superlative
selplidu'i      2nd-place-of+use+equal
selplika'e      2nd-place-of+use+able
selplimi'u      2nd-place-of+use+same
selplixau       2nd-place-of+use+good
selpopselta'u   2nd-place-of+break+2nd-place-of+garment
selrepydja      2nd-place-of+harvest+food
selrerkru       2nd-place-of+throw+curve
selru'a 2nd-place-of+assume
selsanjygau     2nd-place-of+conscious+do
selselgeimau    2nd-place-of+2nd-place-of+happy+more
selskuvei       2nd-place-of+express+record
selsli  2nd-place-of+oscillate
selsmujmi       2nd-place-of+meaning+understand
seltavma'o      2nd-place-of+talk+structure-word
seltepmau       2nd-place-of+fear+more
selteprai       2nd-place-of+fear+superlative
selti'ifla      2nd-place-of+suggest+law
selti'ismu      2nd-place-of+suggest+meaning
seltilmau       2nd-place-of+detail+more
seltisnanba     2nd-place-of+fill+bread
seltisycanti    2nd-place-of+fill+gut
seltisydja      2nd-place-of+fill+food
seltutrai       2nd-place-of+territory+superlative
selviska'eri'a  2nd-place-of+see+able+cause
selvrestu       2nd-place-of+reclining+site
selxagmau       2nd-place-of+good+more
selxagmaugau    2nd-place-of+good+more+do
selxagryvau     2nd-place-of+reed+contain
selxlupai       2nd-place-of+influence+judge
selylazmi'u     2nd-place-of+family+same
selyle'avla     2nd-place-of+take+word
senlanli        doubt+analyze
senxu'i doubt+chemical
sepygau apart+do
sevbaigau       dream+force+do
sezdrari'a      self+correct+cause
sezlacri        self+rely
sezvelski       self+4th-place-of+describe
sezyci'i        self+interesting
sezycitri       self+history
sezyju'o        self+know
sezykarni       self+journal
sezykemxaumaupai        self+type-of+good+more+judge
sezyxangle      self+hand+copulate
sezyxaumaupai   self+good+more+judge
sezyxu'a        self+assert
sezyzdakla      self+nest+come
sfacatra        punish+kill
sfalasna        punish+fasten
sfaxai  punish+injure
sfecra  surface+front
sfefli  surface+fail
sfesti  surface+cease
sfestigau       surface+cease+do
si'arfriti      esteem+offer
si'arturni      esteem+govern
si'asnu esteem+discuss
si'erbi'e       snow+breeze
si'orcanja      idea+exchange
si'orti'i       idea+suggest
si'orti'isni    idea+suggest+sign
sibdai  idea+object
sicko'o west+Scottish
siclytci        whistle+tool
siclyto'a       whistle+tone
sicycrida       west+fairy
sijykla ski+come
sikcurnu        silk+worm
silgei  whistle+happy
simcabna        mutual+now
simcatra        mutual+kill
simda'a mutual+fight
simdarxi        mutual+hit
simdjuno        mutual+know
simfapro        mutual+oppose
simfra  mutual+react
simfrica        mutual+differ
simjikca        mutual+socialize
simjvi  mutual+compete
simkansa        mutual+with
simkruca        mutual+intersect
simla'i mutual+adjacent
simlivbaigau    mutual+leave+force+do
simpanpi        mutual+peace
simpe'o mutual+friend
simple  mutual+paper
simsarxe        mutual+harmonious
simselyli'e     mutual+2nd-place-of+precede
simta'a mutual+talk
simtipyda'a     mutual+kick+fight
simxance        mutual+hand
simymri mutual+mail
sincycrida      snake+fairy
sincysna        snake+sound
single  stage+copulate
sinmyseldunda   esteem+2nd-place-of+give
sipku'a sleep+room
sipsavgau       sleep+noise+do
sipsavru        sleep+noise
sipstu  sleep+site
siptaxfu        sleep+garment
sipydakli       sleep+sack
sivdju  private+help
sivycni private+emotion
sivyta'u        private+garment
skapykandi      pelt+dim
skavrici        color+miscellaneous
skefa'i science+discover
skefi'a science+fiction
skeprenu        science+person
skinoi  describe+message
skola'a cord+fasten
skora'e cord+retain
skosra  cord+support
skovrede'a      cord+reclining+wait
skuci'a express+write
skutadji        express+method
skuzau  express+approve
slacti  celebrate+eat
sladei  celebrate+full-day
slagei  celebrate+happy
slapemci        celebrate+poem
sligau  oscillate+do
sliparbi        oscillate+ratio
slisavru        oscillate+noise
slisko  oscillate+cord
sludemcro       muscle+dense+pain
slugu'a muscle+work
slukemcalkyfi'e muscle+type-of+shell+fish
slunandu        muscle+difficult
sluseltro       muscle+2nd-place-of+control
slutro  muscle+control
smaba'u quiet+utter
smacni  quiet+emotion
smagai  quiet+cover
smajmavra       quiet+foot+lever
smatci  quiet+tool
smigau  similar+do
smimlu  similar+seem
smirai  similar+superlative
smizu'e similar+act
smudu'i meaning+equal
smujimpe        meaning+understand
smukle  meaning+class


